fid,longitude,latitude,lon_min,lon_max,lat_min,lat_max,result
186,31.14750366,-17.60535054,31.14694583,31.1480615,-17.6057624,-17.60493867,0
187,31.14853145,-17.60535054,31.14797361,31.14908929,-17.6057624,-17.60493867,0
188,31.14955923,-17.60535054,31.14900139,31.15011707,-17.6057624,-17.60493867,0
189,31.15058702,-17.60535054,31.15002918,31.15114486,-17.6057624,-17.60493867,0
190,31.1516148,-17.60535054,31.15105696,31.15217264,-17.6057624,-17.60493867,0
191,31.15264258,-17.60535054,31.15208474,31.15320043,-17.6057624,-17.60493867,0
192,31.15367037,-17.60535054,31.15311252,31.15422821,-17.6057624,-17.60493867,0
193,31.15469815,-17.60535054,31.15414031,31.155256,-17.6057624,-17.60493867,0
194,31.15572593,-17.60535054,31.15516809,31.15628378,-17.6057624,-17.60493867,0
195,31.15675372,-17.60535054,31.15619587,31.15731157,-17.6057624,-17.60493867,0
196,31.1577815,-17.60535054,31.15722365,31.15833935,-17.6057624,-17.60493867,0
197,31.15880929,-17.60535054,31.15825143,31.15936714,-17.6057624,-17.60493867,0
198,31.15983707,-17.60535054,31.15927922,31.16039492,-17.6057624,-17.60493867,0
199,31.16086485,-17.60535054,31.160307,31.16142271,-17.6057624,-17.60493867,0
200,31.16189264,-17.60535054,31.16133478,31.16245049,-17.6057624,-17.60493867,0
201,31.16292042,-17.60535054,31.16236256,31.16347828,-17.6057624,-17.60493867,0
202,31.16394821,-17.60535054,31.16339035,31.16450607,-17.6057624,-17.60493867,0
203,31.16497599,-17.60535054,31.16441813,31.16553385,-17.6057624,-17.60493867,0
204,31.16600377,-17.60535054,31.16544591,31.16656164,-17.6057624,-17.60493867,0
205,31.16703156,-17.60535054,31.16647369,31.16758942,-17.6057624,-17.60493867,0
206,31.16805934,-17.60535054,31.16750148,31.16861721,-17.6057624,-17.60493867,0
207,31.16908712,-17.60535054,31.16852926,31.16964499,-17.6057624,-17.60493867,0
208,31.17011491,-17.60535054,31.16955704,31.17067278,-17.6057624,-17.60493867,0
209,31.17114269,-17.60535054,31.17058482,31.17170056,-17.6057624,-17.60493867,0
210,31.17217048,-17.60535054,31.17161261,31.17272835,-17.6057624,-17.60493867,0
211,31.14245262,-17.60617427,31.14189479,31.14301045,-17.60658614,-17.6057624,0
212,31.14348041,-17.60617427,31.14292257,31.14403824,-17.60658614,-17.6057624,0
213,31.14450819,-17.60617427,31.14395036,31.14506603,-17.60658614,-17.6057624,0
214,31.14553598,-17.60617427,31.14497814,31.14609382,-17.60658614,-17.6057624,0
215,31.14656377,-17.60617427,31.14600593,31.14712161,-17.60658614,-17.6057624,0
216,31.14759155,-17.60617427,31.14703371,31.14814939,-17.60658614,-17.6057624,0
217,31.14861934,-17.60617427,31.1480615,31.14917718,-17.60658614,-17.6057624,0
218,31.14964713,-17.60617427,31.14908929,31.15020497,-17.60658614,-17.6057624,0
219,31.15067491,-17.60617427,31.15011707,31.15123276,-17.60658614,-17.6057624,0
220,31.1517027,-17.60617427,31.15114486,31.15226055,-17.60658614,-17.6057624,0
221,31.15273049,-17.60617427,31.15217264,31.15328834,-17.60658614,-17.6057624,0
222,31.15375827,-17.60617427,31.15320043,31.15431612,-17.60658614,-17.6057624,0
223,31.15478606,-17.60617427,31.15422821,31.15534391,-17.60658614,-17.6057624,0
224,31.15581385,-17.60617427,31.155256,31.1563717,-17.60658614,-17.6057624,0
225,31.15684163,-17.60617427,31.15628378,31.15739949,-17.60658614,-17.6057624,0
226,31.15786942,-17.60617427,31.15731157,31.15842728,-17.60658614,-17.6057624,0
227,31.15889721,-17.60617427,31.15833935,31.15945506,-17.60658614,-17.6057624,0
228,31.15992499,-17.60617427,31.15936714,31.16048285,-17.60658614,-17.6057624,0
229,31.16095278,-17.60617427,31.16039492,31.16151064,-17.60658614,-17.6057624,0
230,31.16198057,-17.60617427,31.16142271,31.16253843,-17.60658614,-17.6057624,0
231,31.16300836,-17.60617427,31.16245049,31.16356622,-17.60658614,-17.6057624,0
232,31.16403614,-17.60617427,31.16347828,31.16459401,-17.60658614,-17.6057624,0
233,31.16506393,-17.60617427,31.16450607,31.16562179,-17.60658614,-17.6057624,0
234,31.16609172,-17.60617427,31.16553385,31.16664958,-17.60658614,-17.6057624,0
235,31.1671195,-17.60617427,31.16656164,31.16767737,-17.60658614,-17.6057624,0
236,31.16814729,-17.60617427,31.16758942,31.16870516,-17.60658614,-17.6057624,0
237,31.16917508,-17.60617427,31.16861721,31.16973295,-17.60658614,-17.6057624,0
238,31.17020286,-17.60617427,31.16964499,31.17076073,-17.60658614,-17.6057624,0
239,31.17123065,-17.60617427,31.17067278,31.17178852,-17.60658614,-17.6057624,0
240,31.17225844,-17.60617427,31.17170056,31.17281631,-17.60658614,-17.6057624,0
241,31.1425405,-17.60699801,31.14198267,31.14309834,-17.60740988,-17.60658614,0
242,31.14356829,-17.60699801,31.14301045,31.14412613,-17.60740988,-17.60658614,0
243,31.14459608,-17.60699801,31.14403824,31.14515392,-17.60740988,-17.60658614,0
244,31.14562387,-17.60699801,31.14506603,31.14618171,-17.60740988,-17.60658614,0
245,31.14665166,-17.60699801,31.14609382,31.1472095,-17.60740988,-17.60658614,0
246,31.14767945,-17.60699801,31.14712161,31.14823729,-17.60740988,-17.60658614,0
247,31.14870724,-17.60699801,31.14814939,31.14926508,-17.60740988,-17.60658614,0
248,31.14973503,-17.60699801,31.14917718,31.15029288,-17.60740988,-17.60658614,0
249,31.15076282,-17.60699801,31.15020497,31.15132067,-17.60740988,-17.60658614,0
